,Dangerous,Location_x,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,humidity,precipMM,pressure,tempC,winddirDegree,windspeedKmph,maxtempC_1,mintempC_1,totalSnow_cm_1,sunHour_1,uvIndex_1,maxtempC_2,mintempC_2,totalSnow_cm_2,sunHour_2,uvIndex_2,maxtempC_3,mintempC_3,totalSnow_cm_3,sunHour_3,uvIndex_3
895,True,1,-6,-18,0.0,10.1,2,-14,-15,-12,-15,9,85,0.0,1040,-6,181,5,-11.0,-29.0,0.0,10.1,2.0,-7.0,-21.0,0.2,10.1,2.0,-3.0,-10.0,0.4,6.7,1.0
896,False,1,-6,-18,0.0,10.1,2,-14,-15,-12,-15,9,85,0.0,1040,-6,181,5,-11.0,-29.0,0.0,10.1,2.0,-7.0,-21.0,0.2,10.1,2.0,-3.0,-10.0,0.4,6.7,1.0
897,False,1,-7,-21,0.2,10.1,2,-13,-20,-13,-20,21,93,0.2,1033,-7,142,14,-3.0,-10.0,0.4,6.7,1.0,2.0,-9.0,0.0,10.0,2.0,2.0,-7.0,0.0,10.0,2.0
898,False,1,2,-9,0.0,10.0,2,-4,-6,-3,-6,17,92,0.0,1015,2,162,8,2.0,-7.0,0.0,10.0,2.0,2.0,-10.0,0.0,10.0,2.0,1.0,-13.0,0.0,10.0,1.0
899,True,1,0,-12,0.0,9.9,1,-7,-8,-6,-8,9,94,0.0,1033,0,146,5,0.0,-6.0,0.2,9.9,1.0,0.0,-11.0,0.0,9.9,2.0,-1.0,-14.0,0.0,9.9,2.0
900,True,2,2,-7,0.0,10.0,1,-3,-6,-3,-6,15,95,0.0,1018,2,282,9,3.0,-8.0,0.0,10.0,2.0,-1.0,-11.0,0.0,10.0,2.0,2.0,-7.0,0.0,9.9,2.0
901,False,1,0,-6,0.4,9.9,2,-2,-6,-2,-6,19,97,0.4,1021,0,277,11,0.0,-15.0,0.0,9.9,2.0,-3.0,-15.0,0.1,9.8,1.0,-1.0,-5.0,1.3,8.3,1.0
902,True,1,0,-6,0.4,9.9,2,-2,-6,-2,-6,19,97,0.4,1021,0,277,11,0.0,-15.0,0.0,9.9,2.0,-3.0,-15.0,0.1,9.8,1.0,-1.0,-5.0,1.3,8.3,1.0
903,True,3,3,-6,0.0,10.0,2,-5,-5,-2,-5,18,81,0.0,1018,3,272,10,1.0,-8.0,0.0,10.0,2.0,-2.0,-9.0,0.0,10.0,2.0,2.0,-6.0,0.4,6.6,1.0
904,True,1,2,-1,0.0,4.9,1,0,-2,0,-2,16,99,0.5,1022,2,179,8,1.0,-3.0,0.0,4.9,1.0,1.0,-4.0,0.1,4.9,1.0,1.0,-9.0,0.0,8.2,2.0
905,False,1,1,-4,0.1,4.9,1,-2,-3,-2,-3,6,98,0.1,1032,1,230,3,1.0,-9.0,0.0,8.2,2.0,-1.0,-13.0,0.0,9.7,1.0,-5.0,-17.0,0.0,9.7,1.0
906,False,1,1,-4,0.1,4.9,1,-2,-3,-2,-3,6,98,0.1,1032,1,230,3,1.0,-9.0,0.0,8.2,2.0,-1.0,-13.0,0.0,9.7,1.0,-5.0,-17.0,0.0,9.7,1.0
907,False,1,1,-4,0.1,4.9,1,-2,-3,-2,-3,6,98,0.1,1032,1,230,3,1.0,-9.0,0.0,8.2,2.0,-1.0,-13.0,0.0,9.7,1.0,-5.0,-17.0,0.0,9.7,1.0
908,False,1,1,-4,0.1,4.9,1,-2,-3,-2,-3,6,98,0.1,1032,1,230,3,1.0,-9.0,0.0,8.2,2.0,-1.0,-13.0,0.0,9.7,1.0,-5.0,-17.0,0.0,9.7,1.0
909,False,1,-2,-19,0.0,9.6,2,-14,-14,-13,-14,4,96,0.0,1035,-2,115,2,-3.0,-16.0,0.0,9.6,1.0,-5.0,-18.0,0.0,8.2,1.0,-5.0,-18.0,0.0,8.2,1.0
910,False,0,-12,-29,0.0,9.6,1,-23,-26,-22,-26,9,99,0.0,1034,-12,222,5,-11.0,-19.0,0.4,9.6,1.0,-3.0,-12.0,1.0,9.6,1.0,-2.0,-5.0,1.6,4.8,1.0
911,False,1,-11,-16,0.3,6.5,1,-13,-18,-13,-18,13,97,0.4,1020,-11,312,9,-7.0,-11.0,0.4,4.8,1.0,0.0,-6.0,2.0,4.8,1.0,-1.0,-14.0,0.0,9.6,2.0
912,True,4,1,-5,6.3,4.8,1,-1,-7,-1,-7,41,96,7.5,998,1,231,25,1.0,-6.0,0.0,9.6,2.0,1.0,-6.0,0.0,9.6,2.0,2.0,-4.0,0.0,8.2,2.0
913,False,1,0,-14,0.0,9.6,1,-7,-8,-6,-8,8,96,0.0,1027,0,219,4,1.0,-6.0,0.1,6.5,2.0,1.0,-8.0,0.0,9.6,1.0,0.0,-13.0,0.0,9.6,1.0
914,False,1,1,-8,0.0,9.6,1,-6,-9,-5,-9,19,95,0.0,1029,1,123,10,0.0,-13.0,0.0,9.6,1.0,1.0,-1.0,0.2,4.8,1.0,1.0,-2.0,0.4,4.8,1.0
915,False,0,4,-2,0.2,9.6,1,0,-1,1,-1,10,97,0.3,1016,4,164,5,3.0,0.0,2.6,4.8,1.0,3.0,1.0,7.9,4.8,1.0,2.0,1.0,5.1,4.8,1.0
916,True,1,1,-2,0.4,4.8,1,0,-2,0,-2,17,99,0.6,1015,1,119,8,0.0,-4.0,1.7,4.8,1.0,2.0,-3.0,4.4,4.8,1.0,3.0,1.0,0.0,4.8,1.0
917,False,3,8,2,0.0,9.7,1,3,0,4,0,32,93,0.6,1016,8,153,19,5.0,2.0,1.4,9.7,2.0,5.0,1.0,0.1,8.2,1.0,3.0,1.0,0.0,4.9,1.0
918,False,1,0,-4,1.7,4.8,1,-3,-4,-2,-4,7,98,2.0,1015,0,132,4,2.0,-3.0,4.4,4.8,1.0,3.0,1.0,0.0,4.8,1.0,1.0,-5.0,0.8,4.8,1.0
919,True,1,2,-3,4.4,4.8,1,-2,-5,-2,-5,16,97,5.2,1006,2,133,9,3.0,1.0,0.0,4.8,1.0,1.0,-5.0,0.8,4.8,1.0,-3.0,-16.0,0.1,9.6,1.0
920,True,1,3,1,0.0,4.8,1,2,-2,2,-2,30,100,1.4,1002,3,185,15,1.0,-5.0,0.8,4.8,1.0,-3.0,-16.0,0.1,9.6,1.0,-3.0,-19.0,0.0,9.6,1.0
921,True,1,1,-5,0.8,4.8,1,-2,-6,-2,-6,28,99,1.2,1013,1,163,15,-3.0,-16.0,0.1,9.6,1.0,-3.0,-19.0,0.0,9.6,1.0,2.0,-12.0,0.4,9.6,2.0
922,False,1,3,-4,0.5,4.8,1,0,-3,0,-3,18,97,0.9,1019,3,212,10,3.0,-5.0,0.0,8.2,2.0,2.0,-5.0,0.0,8.2,1.0,1.0,-8.0,0.2,6.5,1.0
923,True,1,-6,-15,0.2,8.2,1,-9,-13,-9,-13,14,98,0.4,1028,-6,312,9,-5.0,-8.0,0.0,4.9,1.0,-1.0,-9.0,0.0,8.2,2.0,-3.0,-21.0,0.0,9.8,2.0
924,False,1,-5,-8,0.0,4.9,1,-7,-11,-6,-11,15,98,0.1,1008,-5,248,10,-1.0,-9.0,0.0,8.2,2.0,-3.0,-21.0,0.0,9.8,2.0,-10.0,-27.0,0.0,9.8,1.0
925,False,1,-5,-8,0.0,4.9,1,-7,-11,-6,-11,15,98,0.1,1008,-5,248,10,-1.0,-9.0,0.0,8.2,2.0,-3.0,-21.0,0.0,9.8,2.0,-10.0,-27.0,0.0,9.8,1.0
926,True,1,-2,-6,0.2,8.3,1,-5,-8,-4,-8,18,93,0.2,1015,-2,207,11,0.0,-5.0,1.0,6.6,1.0,5.0,0.0,0.0,6.6,1.0,8.0,0.0,0.0,9.9,2.0
927,True,0,3,-5,1.7,9.9,1,-3,-4,-1,-4,19,87,2.0,1005,3,191,12,8.0,0.0,0.8,9.9,2.0,7.0,-4.0,0.0,8.3,2.0,7.0,-5.0,0.0,9.9,2.0
928,True,0,3,-5,1.7,9.9,1,-3,-4,-1,-4,19,87,2.0,1005,3,191,12,8.0,0.0,0.8,9.9,2.0,7.0,-4.0,0.0,8.3,2.0,7.0,-5.0,0.0,9.9,2.0
929,True,1,0,-5,1.0,6.6,1,-3,-5,-2,-5,18,94,1.2,1006,0,183,12,5.0,0.0,0.0,6.6,1.0,8.0,0.0,0.0,9.9,2.0,9.0,-2.0,0.0,9.9,2.0
930,False,1,0,-5,1.0,6.6,1,-3,-5,-2,-5,18,94,1.2,1006,0,183,12,5.0,0.0,0.0,6.6,1.0,8.0,0.0,0.0,9.9,2.0,9.0,-2.0,0.0,9.9,2.0
931,False,1,0,-5,1.0,6.6,1,-3,-5,-2,-5,18,94,1.2,1006,0,183,12,5.0,0.0,0.0,6.6,1.0,8.0,0.0,0.0,9.9,2.0,9.0,-2.0,0.0,9.9,2.0
932,True,3,5,-1,1.5,10.0,1,-2,-2,3,-2,30,75,2.5,1006,5,215,21,11.0,2.0,0.0,10.0,2.0,10.0,-1.0,0.0,10.0,2.0,10.0,-2.0,0.0,10.0,2.0
933,False,1,5,0,0.0,6.6,1,0,-1,3,-1,32,86,0.6,1003,5,204,17,8.0,0.0,0.0,9.9,2.0,9.0,-2.0,0.0,9.9,2.0,4.0,-3.0,0.0,9.9,2.0
934,False,3,10,-2,0.0,10.0,2,-10,-2,1,-2,20,44,0.0,1026,10,170,11,7.0,-4.0,0.0,10.0,2.0,8.0,-5.0,0.0,10.1,2.0,4.0,-4.0,0.4,10.0,2.0
935,True,1,4,-2,0.1,6.6,1,1,-2,2,-2,25,93,0.5,1015,4,259,15,3.0,-2.0,1.4,8.3,1.0,2.0,-6.0,0.2,8.3,2.0,2.0,-6.0,0.0,10.0,2.0
936,True,1,4,-2,0.1,6.6,1,1,-2,2,-2,25,93,0.5,1015,4,259,15,3.0,-2.0,1.4,8.3,1.0,2.0,-6.0,0.2,8.3,2.0,2.0,-6.0,0.0,10.0,2.0
937,False,1,1,-5,0.0,10.0,1,-5,-4,-2,-4,10,86,0.1,1029,1,259,6,-2.0,-5.0,0.0,10.1,2.0,0.0,-6.0,0.2,10.1,2.0,6.0,-1.0,0.4,5.1,1.0
938,True,1,2,-5,0.1,11.6,1,-5,-4,-1,-4,13,73,0.2,1006,2,292,10,10.0,0.0,0.0,9.3,2.0,18.0,2.0,0.0,11.6,4.0,14.0,-3.0,0.0,11.6,3.0
939,True,1,4,-9,0.0,11.6,2,-6,-5,-2,-5,12,78,0.0,1028,4,297,7,0.0,-4.0,0.3,8.9,1.0,5.0,-2.0,0.0,10.3,1.0,4.0,-11.0,0.5,10.3,2.0
940,True,1,0,-4,0.3,8.9,1,-4,-9,-3,-9,29,93,0.3,1020,0,291,20,5.0,-2.0,0.0,10.3,1.0,4.0,-11.0,0.5,10.3,2.0,0.0,-5.0,0.0,8.9,2.0
941,False,1,4,-11,0.5,10.3,2,-4,-4,-2,-4,11,83,0.5,1012,4,178,7,0.0,-5.0,0.0,8.9,2.0,1.0,-8.0,0.0,10.3,2.0,-1.0,-8.0,0.2,11.6,1.0
942,False,3,12,0,0.0,11.6,3,-4,2,6,2,29,51,0.0,1008,12,203,17,9.0,-3.0,0.0,11.6,2.0,4.0,-6.0,0.4,11.6,2.0,5.0,-1.0,4.4,10.2,1.0
943,True,1,0,-5,0.0,8.9,2,-4,-6,-2,-6,23,86,0.1,1013,0,200,15,1.0,-8.0,0.0,10.3,2.0,-1.0,-8.0,0.2,11.6,1.0,3.0,-4.0,0.0,8.9,2.0
