Date,Area,Region,Trigger,Depth,Width
1/27/2020,Little Pine,Salt Lake,Natural,,
1/27/2020,Cardiff Fork,Salt Lake,Natural,12,40
1/27/2020,Cardiff Fork,Salt Lake,Skier,10,40
1/27/2020,Toledo Bowl,Salt Lake,Snowboarder,8,40
1/26/2020,Wolverine Cirque,Salt Lake,Skier,4,20
1/26/2020,Y-Not Couloir,Salt Lake,Natural,,
1/25/2020,LSB North,Salt Lake,Skier,8,70
1/25/2020,Stupid Chute,Salt Lake,Skier,3,10
1/25/2020,Hellgate,Salt Lake,Unknown,,
1/25/2020,Broads Fork,Salt Lake,Natural,6,80
1/25/2020,Red Baldy,Salt Lake,Skier,4,30
1/24/2020,Diving Board,Salt Lake,Natural,7,200
1/23/2020,Tuscarora,Salt Lake,Skier,12,10
1/23/2020,Superior,Salt Lake,Snowboarder,8,25
1/22/2020,Gods Lawnmower,Salt Lake,Skier,6,50
1/22/2020,Hallway Couloir,Salt Lake,Skier,6,30
1/21/2020,Salt Lake,Salt Lake,Natural,5,20
1/20/2020,Red Cliffs,Salt Lake,Unknown,,
1/19/2020,Mill B South,Salt Lake,Skier,12,500
1/19/2020,Hellgate,Salt Lake,Natural,,
1/19/2020,Banana Days,Salt Lake,Natural,,40
1/18/2020,Cottonwood Ridgeline,Salt Lake,Hiker,,40
1/18/2020,Cardiff Fork,Salt Lake,Natural,12,100
1/18/2020,Scotties Bowl,Salt Lake,Skier,5,10
1/18/2020,Bountiful,Salt Lake,Snowmobiler,20,40
1/17/2020,Y Coulior,Salt Lake,Natural,,
1/17/2020,Y-Not Couloir,Salt Lake,Natural,,
1/17/2020,Salt Lake,Salt Lake,Natural,10,20
1/17/2020,Murdock Peak,Salt Lake,Unknown,3.5,40
1/15/2020,West Monitor,Salt Lake,Unknown,12,125
1/15/2020,Big Cottonwood Canyon,Salt Lake,,2.5,
1/14/2020,East Bowl,Salt Lake,Natural,6,70
1/14/2020,South Monitor Bowl,Salt Lake,Natural,4,500
1/14/2020,Scotts Peak,Salt Lake,Natural,12,200
1/13/2020,Park City Ridgeline,Salt Lake,Snowboarder,8,70
1/13/2020,Bear Trap,Salt Lake,Skier,,
1/13/2020,Flagstaff Ridge,Salt Lake,Natural,,50
1/12/2020,White Pine,Salt Lake,Natural,,
1/12/2020,Square Top,Salt Lake,Skier,15,40
1/12/2020,Reynolds Peak,Salt Lake,Skier,2,30
1/11/2020,Bountiful,Salt Lake,Snowboarder,12,40
1/10/2020,Cardiac Ridge,Salt Lake,Unknown,,50
1/7/2020,Gobblers,Salt Lake,Natural,12,150

1/5/2020,Wilson Peak,Salt Lake,Skier,12,175
1/4/2020,Columbine Bowl,Salt Lake,Skier,16,150
1/4/2020,White Pine,Salt Lake,Skier,10,30
1/4/2020,Firewater,Salt Lake,Natural,2,100
1/4/2020,Tuscarora,Salt Lake,Skier,22,30
1/4/2020,Red Top,Salt Lake,Natural,,
1/4/2020,Hallway Couloir,Salt Lake,Skier,6,25
1/3/2020,Microwave,Salt Lake,Snowboarder,18,60
1/2/2020,Butler Fork,Salt Lake,Skier,12,30
1/2/2020,Tuscarora,Salt Lake,Unknown,14,40
1/2/2020,Little Water,Salt Lake,Skier,12,60
1/2/2020,Tanners Gulch,Salt Lake,Natural,,
1/2/2020,Big Cottonwood Canyon,Salt Lake,Natural,12,150
1/1/2020,Little Cottonwood Canyon,Salt Lake,,,
1/1/2020,Reynolds Peak,Salt Lake,Skier,8,50
1/1/2020,Murdock Peak,Salt Lake,Skier,2.5,100
1/1/2020,Toots to Boot,Salt Lake,Skier,12,30
12/31/2019,Firewater,Salt Lake,Unknown,2,100
12/29/2019,Oquirrh Mountains,Salt Lake,Unknown,22,200
12/25/2019,west porter,Salt Lake,Skier,8,100
12/25/2019,Moonlight,Salt Lake,Natural,12,300
12/25/2019,Dutch Draw,Salt Lake,Snowboarder,12,200
12/22/2019,Rocky Point,Salt Lake,Skier,2.5,45
12/21/2019,Monitors,Salt Lake,Natural,,100
12/19/2019,Ant Knolls,Salt Lake,Unknown,2,200
12/17/2019,Snake Creek,Salt Lake,Skier,10,80
12/16/2019,Grizzly Gulch,Salt Lake,Skier,,
12/16/2019,Alexander Basin,Salt Lake,Unknown,2.5,350
12/16/2019,Depth Hoar Bowl,Salt Lake,Unknown,2,
12/15/2019,,Salt Lake,Snowboarder,2,100
12/15/2019,Toledo Chutes,Salt Lake,,,25
12/15/2019,Squaretop,Salt Lake,Natural,20,175
12/14/2019,Lake Martha,Salt Lake,Natural,,500
12/14/2019,Flagstaff Ridge,Salt Lake,Skier,12,70
12/14/2019,Thousand Turns Gulley,Salt Lake,Skier,10,175
12/14/2019,Cardiff Pass,Salt Lake,Unknown,8,300
12/14/2019,Twin Lakes area,Salt Lake,,3,50
12/14/2019,Twin Lakes Pass,Salt Lake,Skier,18,300
12/14/2019,Twin Lakes Pass,Salt Lake,Skier,2,"1,500"
12/14/2019,Pole Line Pass,Salt Lake,Natural,15,200
12/14/2019,West Monitor,Salt Lake,Natural,2,90
12/14/2019,Reynolds Pk,Salt Lake,Natural,,
12/13/2019,West Monitor,Salt Lake,Natural,20,80
12/13/2019,,Salt Lake,Skier,3,90
12/13/2019,Paradise,Salt Lake,Skier,2.5,50
12/12/2019,Suicide Chute,Salt Lake,Skier,8,20
12/10/2019,Bonkers,Salt Lake,Natural,2,50
12/10/2019,Diving Board,Salt Lake,Natural,,45
12/9/2019,Toledo Chutes,Salt Lake,Skier,,30
12/8/2019,Wall of Voodoo,Salt Lake,Skier,20,

12/7/2019,Lanes Leap,Salt Lake,Snowboarder,2,200
12/6/2019,Sunset Peak,Salt Lake,Unknown,,
12/5/2019,Cardiff Bowl,Salt Lake,Skier,4,50
12/5/2019,Patsy Marly,Salt Lake,Snowboarder,3,40
12/3/2019,Jaws,Salt Lake,Natural,2.5,80
12/2/2019,Hidden Canyon,Salt Lake,Snowboarder,2,50
