Date,Area,Region,Trigger,Depth,Width
1/5/2019,Red Pine Gulch,Salt Lake,Skier,6,80
1/5/2019,Blue Ice,Salt Lake,Skier,15,125
1/4/2019,Little Cottonwood Canyon,Salt Lake,Hiker,8,20
1/4/2019,Toledo Shoulder,Salt Lake,Natural,5,20
1/3/2019,Salt Lake,Salt Lake,Natural,,100
1/3/2019,Reed and Benson Ridge,Salt Lake,Natural,,
1/2/2019,East Hellgate,Salt Lake,Natural,,
12/31/2018,Snake Creek,Salt Lake,Skier,15,30
12/31/2018,Airplane Peak,Salt Lake,Natural,2.5,80
12/30/2018,South Monitor Bowl,Salt Lake,,,
12/30/2018,Salt Lake,Salt Lake,Skier,5,20
12/29/2018,Wolverine Cirque,Salt Lake,Skier,6,5
12/29/2018,Wolverine Cirque,Salt Lake,Skier,8,30
12/29/2018,Guardsman Pass area,Salt Lake,Skier,6,30
12/28/2018,Cardiac Ridge,Salt Lake,Natural,3,80
12/26/2018,Emma Ridges,Salt Lake,Skier,3,
12/26/2018,Red Baldy,Salt Lake,Skier,15,45
12/26/2018,East Mineral,Salt Lake,Skier,10,20
12/26/2018,,Salt Lake,Natural,,
12/25/2018,South Monitor Bowl,Salt Lake,Skier,15,60
12/24/2018,Cardiff Fork,Salt Lake,Snowboarder,10,50
12/23/2018,Pioneer Bowl,Salt Lake,Snowboarder,18,30
12/22/2018,Reynolds East Face,Salt Lake,Skier,2,80
12/22/2018,Little Superior,Salt Lake,Skier,8,45
12/22/2018,Snake Creek,Salt Lake,Skier,12,30
12/22/2018,Days Draw,Salt Lake,Skier,2,70
12/22/2018,Tuscarora,Salt Lake,Snowboarder,14,50
12/22/2018,Toledo Chutes,Salt Lake,,,
12/22/2018,Room of Doom,Salt Lake,Skier,10,20
12/15/2018,Monitors,Salt Lake,Natural,14,25
12/13/2018,Bonkers,Salt Lake,Natural,4,150

12/12/2018,West Monitor,Salt Lake,Natural,8,45
12/12/2018,Snake Creek,Salt Lake,Natural,,
12/8/2018,,Salt Lake,Skier,3,30
12/3/2018,Snake Creek,Salt Lake,Skier,10,25
12/3/2018,West Monitor,Salt Lake,Natural,3,500
12/3/2018,Snake Creek,Salt Lake,Unknown,,70
12/2/2018,Blue Ice,Salt Lake,Natural,2.5,400
12/2/2018,Cardiff Fork,Salt Lake,Skier,2,50
12/2/2018,Davis Gulch,Salt Lake,Natural,18,200
12/2/2018,Porter Fork,Salt Lake,Skier,2,100
12/1/2018,West Bowl,Salt Lake,Skier,2,100
12/1/2018,Patsy Marly,Salt Lake,Natural,,80
12/1/2018,Patsy Marly,Salt Lake,Skier,,
12/1/2018,Toledo Chutes,Salt Lake,,,100
12/1/2018,Salt Lake,Salt Lake,Natural,,300
12/1/2018,Cardiac Ridge,Salt Lake,Natural,,
12/1/2018,Twin Lakes area,Salt Lake,Natural,,150
11/30/2018,Highline,Salt Lake,Skier,20,150
11/30/2018,Cardiac Ridge,Salt Lake,Natural,3,200
11/30/2018,Red Baldy,Salt Lake,Natural,20,600
11/30/2018,Cardiff Fork,Salt Lake,Skier,2,40
11/30/2018,Silver Fork Headwall,Salt Lake,Skier,2,60
11/30/2018,South Monitor Bowl,Salt Lake,Skier,12,200
11/26/2018,Wolverine,Salt Lake,Skier,18,20
11/25/2018,Days Headwall,Salt Lake,Snowboarder,20,150
11/25/2018,Big Cottonwood Canyon,Salt Lake,Natural,2.5,100
11/25/2018,Flagstaff Gully,Salt Lake,Skier,8,5
11/25/2018,Reynolds East Face Shoulder,Salt Lake,Skier,,
11/25/2018,White Pine,Salt Lake,Natural,18,500
11/25/2018,Mother in Law,Salt Lake,Skier,22,125
11/25/2018,Scotts Bluff,Salt Lake,Skier,20,125
11/24/2018,Superior,Salt Lake,Natural,,
11/24/2018,Cardiff Peak,Salt Lake,Unknown,,
11/24/2018,Jaws,Salt Lake,Natural,20,200
11/24/2018,10420,Salt Lake,Unknown,12,20
11/24/2018,Wolverine Cirque,Salt Lake,Natural,,
11/24/2018,Hide A Way Park,Salt Lake,Natural,20,500
11/24/2018,10420,Salt Lake,Natural,18,30
11/24/2018,Catherine's Pass,Salt Lake,Skier,,50
11/24/2018,Rocky Point,Salt Lake,Natural,16,250
11/24/2018,Cardiac Bowl,Salt Lake,Natural,,"1,000"
11/24/2018,Brighton Perimeter,Salt Lake,Natural,22,150
11/24/2018,Meadows,Salt Lake,Natural,,
11/23/2018,Scotts Bluff,Salt Lake,Natural,12,70
11/23/2018,Alta Periphery,Salt Lake,,10,25
11/23/2018,Monitors,Salt Lake,Skier,6,125
11/23/2018,Monitors,Salt Lake,Skier,2,70
11/23/2018,Monitors,Salt Lake,Natural,20,30
11/22/2018,Rocky Point,Salt Lake,Natural,7,50
11/5/2018,Baldy,Salt Lake,Skier,6,15

10/10/2018,Cardiac Ridge,Salt Lake,Natural,,175
4/30/2018,Hallway Couloir,Salt Lake,Skier,6,
4/28/2018,Ivory Flakes,Salt Lake,Unknown,,
4/28/2018,Broads Fork,Salt Lake,Unknown,,
4/28/2018,Cardiff Fork,Salt Lake,Natural,,
4/18/2018,Little Superior,Salt Lake,Skier,12,40
4/17/2018,Cardiff Peak,Salt Lake,Skier,10,40
4/17/2018,Upper Days,Salt Lake,Skier,8,175
4/13/2018,Two Dogs,Salt Lake,Natural,,
4/9/2018,Cardiff Bowl,Salt Lake,Skier,13,100
4/9/2018,Toledo Bowl,Salt Lake,Skier,4,30
4/9/2018,Emma Ridges,Salt Lake,Skier,3,125
4/9/2018,Raymond Peak,Salt Lake,Natural,6,100
4/9/2018,Emma Ridges,Salt Lake,Skier,,
4/8/2018,Toledo Chutes,Salt Lake,Skier,3,30
4/8/2018,Catherine's Pass,Salt Lake,,6,15
4/8/2018,Toledo Bowl,Salt Lake,,,
4/8/2018,Chicken Sh#! Ridge,Salt Lake,Skier,3,30
4/7/2018,Brighton Perimeter,Salt Lake,Natural,,
4/7/2018,Diving Board,Salt Lake,Natural,,
4/7/2018,Bonkers,Salt Lake,Natural,,
4/2/2018,Silver Fork Headwall,Salt Lake,Unknown,2.5,80
3/28/2018,Scotties Notch,Salt Lake,Skier,6,25
3/26/2018,White Pine,Salt Lake,Natural,,
3/24/2018,Silver Fork,Salt Lake,Natural,,50
3/23/2018,Two Dogs,Salt Lake,Natural,4,500
3/23/2018,Little Cottonwood Canyon,Salt Lake,Explosive,,
3/23/2018,Pioneer Ridge,Salt Lake,,,
3/23/2018,Diving Board,Salt Lake,Natural,10,500
3/22/2018,Mt Olympus,Salt Lake,,,80
3/22/2018,Y-Not Couloir,Salt Lake,Natural,,
3/22/2018,Little Cottonwood Canyon,Salt Lake,,,
3/22/2018,Hide A Way Park,Salt Lake,Unknown,,
3/17/2018,Emma Ridges,Salt Lake,Snowboarder,8,20
3/17/2018,Squaretop,Salt Lake,Skier,12,40
3/17/2018,Upper Days,Salt Lake,Skier,3.5,80
3/17/2018,Millicent Peak,Salt Lake,Snowboarder,4,150
3/16/2018,Salt Lake,Salt Lake,Natural,20,200
3/16/2018,Salt Lake,Salt Lake,Natural,2,100
3/16/2018,Claytons,Salt Lake,Snowmobiler,2.5,40
3/12/2018,,Salt Lake,Natural,,
3/11/2018,Guardsman Pass area,Salt Lake,Snowmobiler,5,350
3/10/2018,First Cornice,Salt Lake,Snowmobiler,,
3/8/2018,Hogum,Salt Lake,Natural,5,300
3/8/2018,,Salt Lake,Skier,4,600
3/6/2018,,Salt Lake,Snowboarder,3,15
3/5/2018,Back Bowls,Salt Lake,Skier,10,20
3/4/2018,Grandeur,Salt Lake,Skier,12,40
3/4/2018,Butler Basin,Salt Lake,Natural,3,300
3/4/2018,Mongo no,Salt Lake,Natural,,100

3/3/2018,Porter Fork,Salt Lake,Skier,18,50
3/3/2018,Porter Fork,Salt Lake,Skier,3,60
3/2/2018,Snake Creek,Salt Lake,Snowmobiler,12,100
3/1/2018,Mt Olympus,Salt Lake,,,20
2/28/2018,Days Fork,Salt Lake,Natural,,
2/28/2018,Wolverine Cirque,Salt Lake,Skier,2,80
2/28/2018,Bonanza Flats,Salt Lake,Skier,2,50
2/27/2018,Grandview Peak,Salt Lake,,,800
2/27/2018,Main Days,Salt Lake,Skier,2,20
2/26/2018,Grandview Peak,Salt Lake,Natural,,
2/26/2018,White Pine,Salt Lake,Natural,,
2/26/2018,Santiago Ridge,Salt Lake,Natural,5,
2/26/2018,East Mineral,Salt Lake,Skier,10,30
2/25/2018,First Cornice Bowl,Salt Lake,,2,50
2/25/2018,Twin Lakes area,Salt Lake,Skier,16,30
2/25/2018,Twin Lakes area,Salt Lake,Skier,12,40
2/25/2018,Little Cottonwood Canyon,Salt Lake,,14,50
2/25/2018,High Ivory,Salt Lake,Unknown,,
2/24/2018,Main Porter,Salt Lake,Natural,10,20
2/24/2018,Raymond Shoulder,Salt Lake,Snowboarder,16,50
2/23/2018,Canyons Periphery,Salt Lake,,,
2/21/2018,Superior,Salt Lake,Skier,12,40
2/20/2018,Claytons,Salt Lake,Skier,12,30
2/20/2018,Alta Periphery,Salt Lake,,,10
2/19/2018,West Willow,Salt Lake,Natural,,70
2/19/2018,Room of Doom,Salt Lake,Natural,,400
2/19/2018,Wilson Chutes,Salt Lake,Natural,3,100
2/19/2018,Davis Gulch,Salt Lake,Skier,3,80
2/19/2018,Toots to Boot,Salt Lake,Snowboarder,2,300
2/19/2018,Sunset Peak,Salt Lake,Natural,20,50
2/19/2018,South Monitor Bowl,Salt Lake,Natural,,300
2/19/2018,West Monitor,Salt Lake,Natural,2,500
2/16/2018,Tuscarora,Salt Lake,Skier,,45
2/16/2018,West Monitor,Salt Lake,Snowboarder,2,350
2/16/2018,Little Superior,Salt Lake,Skier,14,40
2/15/2018,Cardiff Fork,Salt Lake,Natural,,40
2/15/2018,Emma Ridges,Salt Lake,Skier,18,20
2/15/2018,Reynolds East Face,Salt Lake,Skier,3,50
2/15/2018,Michigan City,Salt Lake,Natural,,
2/15/2018,Catchers Mit,Salt Lake,Skier,2,100
2/15/2018,West Willow,Salt Lake,Natural,,
2/15/2018,Pointy Peak,Salt Lake,Natural,2,100
2/15/2018,Airplane Peak,Salt Lake,Natural,3.5,100
2/15/2018,Hogum Hogback,Salt Lake,Natural,2,70
1/31/2018,Alexander Basin,Salt Lake,Skier,16,70
1/31/2018,Alexander Basin,Salt Lake,Unknown,16,50
1/28/2018,West Willow,Salt Lake,Skier,20,150
1/27/2018,Lavina Creek,Salt Lake,Unknown,3,300
1/26/2018,,Salt Lake,Skier,3,200
1/25/2018,Silver Fork Headwall,Salt Lake,Skier,18,15

1/25/2018,Davis Gulch,Salt Lake,Natural,4.5,150
1/24/2018,Pointy Peak,Salt Lake,Skier,2,100
1/21/2018,Patsy Marly,Salt Lake,Snowboarder,15,100
1/21/2018,Snake Creek,Salt Lake,Snowmobiler,2.5,250
1/21/2018,Hide A Way Park,Salt Lake,Natural,2,100
1/20/2018,Porter Fork,Salt Lake,Skier,3,150
1/20/2018,,Salt Lake,Skier,3,200
1/20/2018,Park City Ridgeline,Salt Lake,Skier,3,125
1/16/2018,Davenport Hill,Salt Lake,Skier,2.5,125
1/15/2018,Sheep Shit Ridge,Salt Lake,,,
1/13/2018,Banana Days,Salt Lake,Natural,12,200
1/13/2018,,Salt Lake,Skier,2,200
1/13/2018,Hallway Couloir,Salt Lake,Snowboarder,18,20
1/13/2018,Snake Creek,Salt Lake,Natural,10,200
1/13/2018,Snake Creek,Salt Lake,Snowmobiler,2,90
1/13/2018,Grizzly Gulch,Salt Lake,Snowboarder,2.5,100
1/12/2018,Banana Days,Salt Lake,Natural,2,250
1/11/2018,Hogum,Salt Lake,,,
1/11/2018,Georges Bowl,Salt Lake,Skier,2,100
1/11/2018,West Desolation Ridge,Salt Lake,Skier,18,250
1/11/2018,West Desolation Ridge,Salt Lake,Skier,16,200
1/11/2018,Red Pine Gulch,Salt Lake,Natural,2,80
1/10/2018,Days Draw,Salt Lake,Natural,2,300
1/10/2018,10420,Salt Lake,Snowboarder,12,100
1/10/2018,West Monitor,Salt Lake,Skier,2,"1,500"
1/10/2018,Hogum,Salt Lake,,,
1/10/2018,No Name Bowl,Salt Lake,Skier,20,125
1/10/2018,Claytons,Salt Lake,Skier,14,"1,000"
1/10/2018,Superior,Salt Lake,Natural,,
1/10/2018,Grizzly Gulch,Salt Lake,Skier,18,20
1/10/2018,Twin Lakes Pass,Salt Lake,Skier,18,150
1/10/2018,Two Dogs,Salt Lake,Skier,12,"1,000"
1/10/2018,Radar Love Bowl,Salt Lake,Natural,2,150
1/9/2018,Meadows,Salt Lake,Skier,13,100
1/7/2018,Cardiff Peak,Salt Lake,Skier,2,40
1/7/2018,Porter Fork,Salt Lake,,2,150
1/7/2018,Georges Bowl,Salt Lake,Skier,,30
1/7/2018,Main Days,Salt Lake,Skier,12,20
1/7/2018,Red Pine Gulch,Salt Lake,,12,15
1/6/2018,Green Slope,Salt Lake,,2,
1/6/2018,Tuscarora,Salt Lake,Unknown,,100
12/29/2017,Park City Ridgeline,Salt Lake,Natural,,
12/29/2017,Honeycomb,Salt Lake,Skier,20,40
12/28/2017,Squaretop,Salt Lake,Skier,2,50
12/28/2017,Park City Ridgeline,Salt Lake,Natural,12,175
12/27/2017,Evergreen Ridge,Salt Lake,Natural,15,400
12/27/2017,Patsey Trees,Salt Lake,Skier,12,20
12/27/2017,Solitude closed terrain,Salt Lake,Natural,20,350
12/27/2017,Murdock Peak,Salt Lake,Skier,20,250
12/26/2017,West Desolation Ridge,Salt Lake,Unknown,,150

12/26/2017,Wilson Chutes,Salt Lake,Unknown,,200
12/26/2017,Cardiff Bowl,Salt Lake,Skier,20,300
12/26/2017,Georges Bowl,Salt Lake,Skier,12,50
12/26/2017,Summit Park,Salt Lake,Unknown,,
12/26/2017,Wilson Glade,Salt Lake,Skier,18,
12/25/2017,Reynolds East Face Shoulder,Salt Lake,Skier,16,100
12/25/2017,Reynolds East Face,Salt Lake,Skier,16,250
12/25/2017,Mill D North,Salt Lake,Skier,12,40
12/25/2017,Big Cottonwood Canyon,Salt Lake,Natural,10,10
12/24/2017,Scotts Bowl,Salt Lake,Skier,15,150
12/24/2017,Main Porter,Salt Lake,Skier,2,40
12/24/2017,Alexander Basin,Salt Lake,Natural,6,10
12/24/2017,Snake Creek,Salt Lake,Natural,,
12/24/2017,South Monitor Bowl,Salt Lake,Natural,,100
12/23/2017,West Monitor,Salt Lake,Natural,,60
12/23/2017,Grizzly Gulch,Salt Lake,Skier,,200
12/23/2017,Catherine's Pass,Salt Lake,Skier,12,50
12/23/2017,Pioneer Bowl,Salt Lake,Natural,,
12/23/2017,Twin Lakes Pass,Salt Lake,Snowboarder,18,80
12/23/2017,No Name Bowl,Salt Lake,Unknown,,50
12/23/2017,West Willow,Salt Lake,Natural,,60
12/23/2017,Days Headwall,Salt Lake,Skier,18,150
12/23/2017,Jaws,Salt Lake,Skier,18,150
11/18/2017,Alta Ski Area,Salt Lake,Explosive,18,"1,000"
11/18/2017,Catherine's Pass,Salt Lake,Unknown,2,70
11/17/2017,Catherine's Pass,Salt Lake,Skier,15,100
11/17/2017,Little Cottonwood Canyon,Salt Lake,Natural,16,"2,500"
5/14/2017,Park City Ridgeline,Salt Lake,,,
4/29/2017,Superior,Salt Lake,,,
4/29/2017,Little Superior,Salt Lake,Natural,,
4/29/2017,Tanners Gulch,Salt Lake,Natural,4,250
4/29/2017,Superior,Salt Lake,Skier,2,150
4/29/2017,Bells Canyon,Salt Lake,Skier,12,40
4/29/2017,Meadows,Salt Lake,Skier,6,200
4/28/2017,Flagstaff Ridge,Salt Lake,Skier,1,
4/28/2017,Little Superior,Salt Lake,Skier,12,60
4/28/2017,Murdock Peak,Salt Lake,Snowboarder,12,60
4/28/2017,Murdock Peak,Salt Lake,Snowmobiler,12,
4/27/2017,Flagstaff Ridge,Salt Lake,Skier,8,60
4/27/2017,Cardiff Bowl,Salt Lake,Skier,8,30
4/27/2017,Honeycomb,Salt Lake,Skier,10,30
4/27/2017,Cardiff Bowl,Salt Lake,Skier,12,"1,000"
4/25/2017,Emma Ridges,Salt Lake,Skier,14,100
4/25/2017,Dougs Drop,Salt Lake,Skier,14,40
4/25/2017,Twin Lakes Pass,Salt Lake,Natural,16,450
4/25/2017,Davenport Hill,Salt Lake,Skier,,900
4/25/2017,Days Fork,Salt Lake,Skier,16,450
4/25/2017,Chicken Sh#! Ridge,Salt Lake,Skier,10,60
4/25/2017,Patsy Marly,Salt Lake,Unknown,,
4/25/2017,Stupid Chute,Salt Lake,Skier,12,300

4/25/2017,Emma Ridges,Salt Lake,Skier,18,125
4/25/2017,Grizzly Gulch,Salt Lake,Natural,,250
4/25/2017,Main Days,Salt Lake,Skier,2,200
4/25/2017,Silver Fork Headwall,Salt Lake,Natural,12,800
4/23/2017,Big Cottonwood Canyon,Salt Lake,Skier,2,40
4/23/2017,Baldy,Salt Lake,Skier,12,50
4/22/2017,Cottonwood Canyons,Salt Lake,,,
4/22/2017,Brighton,Salt Lake,,,
4/21/2017,South Monitor Bowl,Salt Lake,Skier,3,50
4/19/2017,Cardiff Bowl,Salt Lake,Skier,2.5,30
4/19/2017,Little Superior,Salt Lake,Unknown,,50
4/15/2017,Cinder Chutes,Salt Lake,Skier,18,100
4/11/2017,Snowbird Ski Resort,Salt Lake,Hiker,10,100
4/10/2017,Mineral Basin,Salt Lake,Natural,7,100
4/9/2017,Cardiff Bowl,Salt Lake,Skier,6,60
4/9/2017,Snake Creek,Salt Lake,Skier,6,60
3/31/2017,Hogum,Salt Lake,Natural,8,
3/28/2017,Pioneer Ridge,Salt Lake,Skier,4,15
3/28/2017,No Name Baldy,Salt Lake,Skier,12,100
3/28/2017,Dougs Drop,Salt Lake,Skier,4,40
3/28/2017,Claytons,Salt Lake,Skier,8,70
3/28/2017,Snake Creek,Salt Lake,Skier,1,30
3/27/2017,Pink Pine,Salt Lake,Skier,,30
3/27/2017,East Bowl,Salt Lake,,5,80
3/27/2017,Benson and Hedges,Salt Lake,Natural,,
3/27/2017,Broads Fork,Salt Lake,Natural,,
3/26/2017,Cardiac Ridge,Salt Lake,,,
3/26/2017,Butler Basin,Salt Lake,Snowboarder,6,50
3/26/2017,Barrieto,Salt Lake,Natural,,100
3/25/2017,Days Draw,Salt Lake,Skier,7,15
3/24/2017,Wolverine Cirque,Salt Lake,,,
3/24/2017,Banana Days,Salt Lake,Skier,6,30
3/24/2017,Lake Peak,Salt Lake,Skier,6,100
3/23/2017,Millicent Peak,Salt Lake,,7,
3/23/2017,Cardiac Bowl,Salt Lake,Natural,8,60
3/22/2017,Y Coulior,Salt Lake,Natural,,50
3/21/2017,Patsy Marly,Salt Lake,Natural,,30
3/19/2017,Stairs Gulch,Salt Lake,Natural,,
3/18/2017,Red Pine Gulch,Salt Lake,Natural,,
3/14/2017,No Name Bowl,Salt Lake,Skier,4,35
3/9/2017,No Name Bowl,Salt Lake,Natural,,50
3/9/2017,Little Pine,Salt Lake,Natural,,
3/9/2017,Superior,Salt Lake,Natural,,
3/8/2017,Cardiac Bowl,Salt Lake,Skier,16,250
3/7/2017,Hide A Way Park,Salt Lake,Skier,12,15
3/7/2017,Brighton Perimeter,Salt Lake,Skier,6,25
3/7/2017,Superior,Salt Lake,,,50
3/4/2017,Hogum,Salt Lake,Skier,,
3/3/2017,Y-Not Couloir,Salt Lake,Natural,,
3/2/2017,Y Coulior,Salt Lake,Skier,8,25

3/2/2017,Scott Hill,Salt Lake,Unknown,,400
3/1/2017,Snowbird periphery,Salt Lake,Natural,16,60
2/24/2017,Hogum,Salt Lake,Natural,3,150
2/23/2017,"Willows, West Monitor",Salt Lake,Skier,13,60
2/23/2017,Y Coulior,Salt Lake,Natural,,30
2/23/2017,PC Iron Mountain,Salt Lake,Skier,,25
2/22/2017,Emma Ridges,Salt Lake,Skier,8,10
2/22/2017,Back Bowls,Salt Lake,Natural,,175
2/22/2017,Mary Lake Ridge,Salt Lake,Snowboarder,3,150
2/20/2017,PC Iron Mountain,Salt Lake,Skier,4,10
2/19/2017,LSB North,Salt Lake,Snowboarder,8,60
2/19/2017,Maybird Gulch,Salt Lake,Skier,8,40
2/19/2017,High Ivory,Salt Lake,Natural,,100
2/19/2017,10420,Salt Lake,Snowboarder,10,50
2/19/2017,Main Days,Salt Lake,Snowboarder,10,200
2/19/2017,Days Draw,Salt Lake,Skier,,40
2/19/2017,No Name Bowl,Salt Lake,Skier,6,60
2/19/2017,Lake Peak,Salt Lake,Skier,10,45
2/19/2017,Days Draw,Salt Lake,Snowboarder,10,50
2/19/2017,Snowbird periphery,Salt Lake,Skier,,250
2/19/2017,Sunset Peak,Salt Lake,Skier,12,200
2/19/2017,Cardiff Bowl,Salt Lake,Skier,4,80
2/19/2017,Silver Fork Headwall,Salt Lake,Skier,,50
2/19/2017,Scotts Bluff,Salt Lake,Skier,13,90
2/18/2017,White Pine,Salt Lake,Skier,4,10
2/18/2017,Bells Canyon,Salt Lake,Skier,15,60
2/17/2017,Y-Not Couloir,Salt Lake,Natural,,
2/16/2017,White Pine,Salt Lake,Skier,3,50
2/16/2017,Mill B South,Salt Lake,Skier,11,60
2/16/2017,Red Pine Gulch,Salt Lake,Skier,10,60
2/16/2017,Red Pine Gulch,Salt Lake,Skier,5,50
2/13/2017,Wolverine Cirque,Salt Lake,Snowboarder,7,15
2/13/2017,Wolverine Cirque,Salt Lake,Snowboarder,8,50
2/13/2017,Salt Lake,Salt Lake,Skier,8,30
2/13/2017,Hogum,Salt Lake,Unknown,10,80
2/12/2017,Hogum,Salt Lake,Skier,8,40
2/12/2017,Banana Days,Salt Lake,Skier,12,25
2/12/2017,White Pine,Salt Lake,Snowboarder,4,5
2/12/2017,Monte Cristo,Salt Lake,Skier,6,450
2/12/2017,"Willows, West Monitor",Salt Lake,,8,
2/11/2017,Tuscarora,Salt Lake,Skier,20,200
2/11/2017,Georges Bowl,Salt Lake,Skier,,35
2/11/2017,White Pine,Salt Lake,Natural,2.5,700
2/11/2017,Scott Hill,Salt Lake,Skier,10,250
2/11/2017,Days Draw,Salt Lake,Skier,16,50
2/11/2017,Meadows,Salt Lake,Skier,,
2/11/2017,Kessler Slabs,Salt Lake,Skier,9,25
2/11/2017,Upper Red Pine,Salt Lake,Natural,3,500
2/11/2017,Scotts Peak,Salt Lake,Natural,,
2/11/2017,White Pine,Salt Lake,Unknown,2,"1,500"

2/8/2017,Tanners Gulch,Salt Lake,Natural,,
2/8/2017,Patsy Marly,Salt Lake,Natural,,
2/8/2017,Patsy Marly,Salt Lake,Skier,,
2/8/2017,West Monitor,Salt Lake,Natural,13,150
2/8/2017,South Monitor Bowl,Salt Lake,Natural,2,90
2/7/2017,Wolverine Cirque,Salt Lake,Natural,,250
2/7/2017,Wolverine Cirque,Salt Lake,Natural,7,70
2/7/2017,Scotts Peak,Salt Lake,Natural,,
2/7/2017,Doughnut Falls,Salt Lake,Snowboarder,12,175
2/7/2017,Reynolds Pk,Salt Lake,Natural,,100
2/6/2017,Diving Board,Salt Lake,Natural,5,100
2/4/2017,Diving Board,Salt Lake,Natural,,
2/4/2017,LSB North,Salt Lake,Skier,10,50
2/3/2017,Lake Mary Chutes,Salt Lake,Skier,7,30
2/3/2017,Bonkers,Salt Lake,Natural,3,60
2/2/2017,Bonkers,Salt Lake,Natural,18,40
1/31/2017,Summit Park,Salt Lake,Skier,19,200
1/29/2017,White Pine,Salt Lake,Natural,,50
1/29/2017,Murdock Peak,Salt Lake,Skier,2,125
1/29/2017,Tolgate Canyon,Salt Lake,Skier,,
1/29/2017,Tolgate Canyon,Salt Lake,Skier,18,70
1/28/2017,Toledo Chutes,Salt Lake,Skier,2,10
1/27/2017,Summit Park,Salt Lake,Skier,4,100
1/27/2017,Lambs Canyon,Salt Lake,Snowboarder,2,80
1/27/2017,Sound of Music,Salt Lake,Skier,2.5,400
1/27/2017,Cardiac Ridge,Salt Lake,Natural,12,70
1/27/2017,Murdock Peak,Salt Lake,Skier,2,800
1/27/2017,Mary Ellen,Salt Lake,Skier,12,80
1/27/2017,Little Superior,Salt Lake,Unknown,18,45
1/27/2017,Summit Park,Salt Lake,Skier,18,30
1/27/2017,PC Iron Mountain,Salt Lake,Skier,,
1/25/2017,,Salt Lake,Skier,20,200
1/24/2017,Red Pine Gulch,Salt Lake,Unknown,3,200
1/24/2017,Bear Trap,Salt Lake,Skier,2,200
1/24/2017,Park City area mountians,Salt Lake,Skier,2.5,150
1/24/2017,Park City Ridgeline,Salt Lake,Skier,3,150
1/23/2017,Maybird Gulch,Salt Lake,Natural,2,40
1/23/2017,Canyons Periphery,Salt Lake,Natural,2,150
1/23/2017,Red Pine Gulch,Salt Lake,Unknown,,
1/23/2017,Reynolds Pk,Salt Lake,Natural,9,200
1/23/2017,Gobblers Knob,Salt Lake,Natural,2,350
1/23/2017,Greens Basin,Salt Lake,Natural,18,
1/23/2017,Butler Basin,Salt Lake,Unknown,2,200
1/23/2017,Cardiff Fork,Salt Lake,Natural,,40
1/23/2017,West Willow,Salt Lake,Unknown,,
1/22/2017,Scotts Peak,Salt Lake,Skier,2,100
1/22/2017,Rocky Point,Salt Lake,Skier,2,60
1/22/2017,Lambs Canyon,Salt Lake,Skier,18,50
1/22/2017,Murdock Peak,Salt Lake,,20,100
1/21/2017,Figure 8 Hill,Salt Lake,Natural,12,70

1/21/2017,Daily Canyon,Salt Lake,Snowboarder,10,60
1/21/2017,Mt Aire,Salt Lake,Natural,5,250
1/21/2017,Lacawaxan,Salt Lake,Natural,6,40
1/21/2017,Georges Bowl,Salt Lake,Skier,14,60
1/21/2017,Foothills,Salt Lake,Skier,16,20
1/21/2017,West Porter,Salt Lake,Natural,,
1/21/2017,Lambs Canyon,Salt Lake,Unknown,8,40
1/16/2017,Little Pine,Salt Lake,Natural,,
1/16/2017,Hogum,Salt Lake,Skier,7,60
1/16/2017,Hogum,Salt Lake,Skier,4,15
1/15/2017,Red Pine Gulch,Salt Lake,Skier,12,50
1/15/2017,Wolverine Cirque,Salt Lake,Skier,6,15
1/15/2017,Red Pine Gulch,Salt Lake,Skier,14,30
1/15/2017,Tuscarora,Salt Lake,Unknown,8,40
1/14/2017,west porter,Salt Lake,Unknown,16,500
1/12/2017,Catchers Mit,Salt Lake,Unknown,,
1/12/2017,Catchers Mit,Salt Lake,Natural,,
1/11/2017,Cardiac Ridge,Salt Lake,Natural,4,"2,500"
1/10/2017,Pink Pine,Salt Lake,Skier,15,80
1/10/2017,10420,Salt Lake,Skier,12,150
1/9/2017,Y Coulior,Salt Lake,Natural,,
1/9/2017,Scotties Bowl,Salt Lake,Skier,12,150
1/9/2017,White Pine,Salt Lake,Skier,10,100
1/8/2017,Foothills,Salt Lake,Natural,6,40
1/8/2017,Mineral Basin,Salt Lake,Natural,8,100
1/8/2017,Guardsman Pass area,Salt Lake,Skier,8,80
1/5/2017,Wolverine Cirque,Salt Lake,Natural,2,300
1/5/2017,Diving Board,Salt Lake,Natural,3,300
1/5/2017,White Pine,Salt Lake,Natural,18,125
1/4/2017,Cardiac Ridge,Salt Lake,Natural,,
1/2/2017,Neffs,Salt Lake,Natural,20,200
1/2/2017,No Name Bowl,Salt Lake,Skier,12,70
12/29/2016,Butler Fork,Salt Lake,Unknown,,100
12/27/2016,Mill Creek Canyon,Salt Lake,Skier,16,25
12/24/2016,Cardiff Bowl,Salt Lake,Snowboarder,2,30
12/24/2016,Depth Hoar Bowl,Salt Lake,Skier,5,20
12/24/2016,East Bowl,Salt Lake,Skier,12,250
12/20/2016,Superior,Salt Lake,Skier,,
12/19/2016,Raymond Peak,Salt Lake,Skier,3,40
12/19/2016,White Pine,Salt Lake,Snowboarder,,700
12/18/2016,Salt Lake,Salt Lake,Unknown,3,300
12/17/2016,Pioneer Peak,Salt Lake,Natural,2,300
