Date,,Region,Trigger,Depth,Width
3/20/2020,West Couloir,Salt Lake,Natural,,30'
3/19/2020,Abajos,Abajos,Unknown,,100'
3/19/2020,Moab,Moab,Natural,2',300'
3/18/2020,Pioneer Ridge,Salt Lake,Skier,"6""",30'
3/18/2020,Brighton Perimeter,Salt Lake,Natural,"6""",70'
3/17/2020,Caribou Basin,Salt Lake,Natural,"18""",175'
3/17/2020,Upper Days,Salt Lake,Unknown,"6""",20'
3/15/2020,Uintas,Uintas,Unknown,5',100'
3/15/2020,Grandfather Bowl,Logan,Unknown,"12""",60'
3/15/2020,Lake Mary,Salt Lake,Skier,"5""",60'
3/14/2020,Moab,Moab,Skier,"14""",300'
3/14/2020,Uintas,Uintas,Skier,"12""",100'
3/14/2020,Lake Mary,Salt Lake,Skier,,50'
3/14/2020,10420,Salt Lake,Skier,"6""",40'
Date,,Region,Trigger,Depth,Width
3/14/2020,Little Superior,Salt Lake,Skier,"5""",10'
3/14/2020,Brighton Perimeter,Salt Lake,Skier,,200'
3/14/2020,Brianhead Backcountry,Southwest,Skier,3',20'
3/11/2020,Little Cottonwood Canyon,Salt Lake,,,
3/11/2020,Porter Fork,Salt Lake,Natural,2',20'
3/10/2020,Cardiac Ridge,Salt Lake,Natural,"6""",70'
3/10/2020,Cougar Peak Area,Logan,Skier,"3""",
3/9/2020,Dog Lake area,Salt Lake,,"8""",45'
3/9/2020,Pioneer Ridge,Salt Lake,Skier,"8""",25'
3/9/2020,Raymond Slabs,Salt Lake,,,
3/9/2020,No Name Bowl,Salt Lake,Skier,"10""",50'
3/8/2020,Dugway Cirque,Logan,Natural,,80'
3/8/2020,Back Bowls,Salt Lake,Natural,"6""",80'
3/8/2020,Amphitheater Gully,Logan,Natural,,
3/7/2020,Squash Head Ice Climb,Provo,Natural,,
3/7/2020,Coalpit,Salt Lake,Natural,,
3/7/2020,Rock Canyon,Provo,Natural,,
3/7/2020,,Logan,Unknown,4',25'
3/6/2020,Miller Hill,Provo,Skier,,15'
3/6/2020,River Chutes,Logan,Natural,"6""",50'
3/4/2020,Tuscarora,Salt Lake,Snowboarder,"4""",30'
3/3/2020,Moab,Moab,Snowboarder,"8""",35'
3/2/2020,Cornice Ridge,Logan,Snowmobiler,"6""",50'
3/2/2020,Moab,Moab,Natural,,
3/2/2020,Superior,Salt Lake,Skier,"3""",10'
3/2/2020,East Bowl,Salt Lake,Skier,"5""",20'
3/2/2020,Cardiac Ridge,Salt Lake,Skier,"4""",20'
3/2/2020,Hellgate,Salt Lake,Skier,"2""",50'
3/2/2020,Preston Peak,Salt Lake,Snowboarder,"7""",50'
3/2/2020,Gobblers,Salt Lake,Skier,"4""",20'
3/2/2020,Days Fork,Salt Lake,Skier,"3""",25'
3/2/2020,Days Fork,Salt Lake,Skier,"5""",40'
