Date,Area,Depth,Width,Dangerous
1/27/2020,Lake Desolation,0.8333333333333334,60,FALSE
1/27/2020,"Willows, West Monitor",0.4166666666666667,20,FALSE
1/27/2020,Tanners Gulch,2,800,TRUE
1/27/2020,Cardiff Fork,1,40,FALSE
1/27/2020,Cardiff Fork,0.8333333333333334,40,FALSE
1/27/2020,Toledo Bowl,0.6666666666666666,40,FALSE
1/26/2020,Wolverine Cirque,0.3333333333333333,20,FALSE
1/25/2020,LSB North,0.6666666666666666,70,FALSE
1/25/2020,Stupid Chute,0.25,10,FALSE
1/25/2020,Broads Fork,6,80,TRUE
1/25/2020,Red Baldy,0.3333333333333333,30,FALSE
1/24/2020,Diving Board,7,200,TRUE
1/23/2020,Tuscarora,1,10,FALSE
1/23/2020,Superior,0.6666666666666666,25,FALSE
1/22/2020,Gods Lawnmower,0.5,50,FALSE
1/22/2020,Hallway Couloir,0.5,30,FALSE
1/21/2020,Salt Lake,0.4166666666666667,20,FALSE
1/19/2020,Mill B South,1,500,TRUE
1/18/2020,Cardiff Fork,1,100,TRUE
1/18/2020,Scotties Bowl,0.4166666666666667,10,FALSE
1/18/2020,Bountiful,1.6666666666666667,40,FALSE
1/17/2020,Murdock Peak,3.5,40,FALSE
1/17/2020,Salt Lake,0.8333333333333334,20,FALSE
1/15/2020,West Monitor,1,125,TRUE
1/14/2020,East Bowl,0.5,70,FALSE
1/14/2020,South Monitor Bowl,4,500,TRUE
1/14/2020,Scotts Peak,1,200,TRUE
1/13/2020,Park City Ridgeline,0.6666666666666666,70,FALSE
1/12/2020,Square Top,1.25,40,FALSE
1/12/2020,Reynolds Peak,2,30,FALSE
1/11/2020,Bountiful,1,40,FALSE
1/7/2020,Gobblers,1,150,TRUE
1/5/2020,Wilson Peak,1,175,TRUE
1/4/2020,Columbine Bowl,1.3333333333333333,150,TRUE
1/4/2020,White Pine,0.8333333333333334,30,FALSE
1/4/2020,Firewater,2,100,TRUE
1/4/2020,Tuscarora,1.8333333333333333,30,FALSE
1/4/2020,Hallway Couloir,0.5,25,FALSE
1/3/2020,Microwave,1.5,60,TRUE
1/2/2020,Butler Fork,1,30,FALSE
1/2/2020,Tuscarora,1.1666666666666667,40,FALSE
1/2/2020,Little Water,1,60,TRUE
1/2/2020,Big Cottonwood Canyon,1,150,TRUE
1/1/2020,Reynolds Peak,0.6666666666666666,50,FALSE
1/1/2020,Murdock Peak,2.5,100,TRUE
1/1/2020,Toots to Boot,1,30,FALSE
12/31/2019,Firewater,2,100,TRUE
12/29/2019,Oquirrh Mountains,1.8333333333333333,200,TRUE
12/25/2019,Dutch Draw,1,200,TRUE
12/25/2019,west porter,0.6666666666666666,100,FALSE
12/25/2019,Moonlight,1,300,TRUE
12/22/2019,Rocky Point,2.5,45,FALSE
12/19/2019,Ant Knolls,2,200,TRUE
12/17/2019,Snake Creek,0.8333333333333334,80,FALSE
12/16/2019,Alexander Basin,2.5,350,TRUE
12/15/2019,Squaretop,1.6666666666666667,175,TRUE
12/14/2019,Twin Lakes Pass,1.5,300,TRUE
12/14/2019,Twin Lakes Pass,2,1500,TRUE
12/14/2019,Pole Line Pass,1.25,200,TRUE
12/14/2019,West Monitor,2,90,TRUE
12/14/2019,Flagstaff Ridge,1,70,TRUE
12/14/2019,Thousand Turns Gulley,0.8333333333333334,175,FALSE
12/14/2019,Cardiff Pass,0.6666666666666666,300,FALSE
12/14/2019,Twin Lakes area,3,50,FALSE
12/13/2019,West Monitor,1.6666666666666667,80,TRUE
12/13/2019,Paradise,2.5,50,FALSE
12/12/2019,Suicide Chute,0.6666666666666666,20,FALSE
12/10/2019,Bonkers,2,50,FALSE
12/7/2019,Lanes Leap,2,200,TRUE
12/5/2019,Cardiff Bowl,0.3333333333333333,50,FALSE
12/5/2019,Patsy Marly,3,40,FALSE
12/3/2019,Jaws,2.5,80,TRUE
12/2/2019,Hidden Canyon,2,50,FALSE
11/30/2019,Scotts Bluff,2,200,TRUE
11/30/2019,No Name Bowl,3.5,500,TRUE
11/30/2019,Gobblers,3,200,TRUE
11/29/2019,Murdock Peak,1.5,500,TRUE
11/29/2019,Patsy Marly,1,100,TRUE
11/29/2019,Patsy Marly,3.5,250,TRUE
11/29/2019,10420,2.5,30,FALSE
11/29/2019,Hidden Canyon,1.6666666666666667,400,TRUE
11/29/2019,Two Dogs,2.5,125,TRUE
11/29/2019,Days Headwall,2.5,250,TRUE
11/29/2019,Silver Fork Headwall,2,80,TRUE
11/29/2019,Great White Icicle,0.5,20,FALSE
11/29/2019,Hidden Canyon,1.6666666666666667,400,TRUE
11/29/2019,Big Cottonwood Canyon,2.5,100,TRUE
11/28/2019,Hidden Canyon,1.3333333333333333,200,TRUE
11/28/2019,South Monitor Bowl,3,400,TRUE
11/28/2019,East Bowl,3,50,FALSE
11/27/2019,Catherine's Pass,2,150,TRUE
11/27/2019,Silver Fork Headwall,1,30,FALSE
11/27/2019,Davenport Hill,1,15,FALSE
11/25/2019,Hidden Canyon,0.5,20,FALSE
10/29/2019,Gunsight,1.1666666666666667,5,FALSE
10/27/2019,Cardiac Ridge,0.8333333333333334,30,FALSE
5/24/2019,East Castle,0.8333333333333334,200,FALSE
